path,filename,archive,market_start,market_end,complete,line_count,book_messages_total,in_window_book_messages,trade_count_window,snapshots,deltas,sequence_breaks,first_book_age,last_book_age,sampled_points,outcome,outcome_source,final_quote_proxy,final_trade_proxy,elapsed_seconds,fatal_error,raw_status,raw_leader,raw_leader_time,raw_pullback_time,raw_confirm_time,raw_entry_side,raw_up_ask_at_entry,raw_down_ask_at_entry,raw_entry_levels,sampled_status,sampled_leader,sampled_leader_time,sampled_pullback_time,sampled_confirm_time,sampled_entry_side,sampled_up_ask_at_entry,sampled_down_ask_at_entry,sampled_entry_levels,market_start_utc,market_end_utc,raw_flat_cash_budget,raw_flat_total_debit,raw_flat_principal,raw_flat_fee,raw_flat_shares,raw_flat_avg_price,raw_flat_effective_cost_per_share,raw_flat_worst_price,raw_flat_levels_used,raw_flat_fill_ratio,raw_flat_win,raw_flat_pnl,sampled_flat_cash_budget,sampled_flat_total_debit,sampled_flat_principal,sampled_flat_fee,sampled_flat_shares,sampled_flat_avg_price,sampled_flat_effective_cost_per_share,sampled_flat_worst_price,sampled_flat_levels_used,sampled_flat_fill_ratio,sampled_flat_win,sampled_flat_pnl
zip:///Users/bradamanka/Downloads/Stratgey testing/polymarket-btc-5m_2026-08-09.zip::polymarket-btc-updown-5m-1785941700-2026-08-09.txt.zst,polymarket-btc-updown-5m-1785941700-2026-08-09.txt.zst,polymarket-btc-5m_2026-08-09.zip,1785941700,1785942000,False,202,200,0,0,1,199,0,,,301,UNKNOWN,not_extreme,,,0.009759187698364258,,no_leader,,,,,,,,,no_leader,,,,,,,,,2026-08-05T14:55:00+00:00,2026-08-05T15:00:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,
zip:///Users/bradamanka/Downloads/Stratgey testing/polymarket-btc-5m_2026-08-09.zip::polymarket-btc-updown-5m-1786232100-2026-08-09.txt.zst,polymarket-btc-updown-5m-1786232100-2026-08-09.txt.zst,polymarket-btc-5m_2026-08-09.zip,1786232100,1786232400,False,4,1,0,0,1,0,0,,,301,UNKNOWN,not_extreme,,,0.001138925552368164,,no_leader,,,,,,,,,no_leader,,,,,,,,,2026-08-08T23:35:00+00:00,2026-08-08T23:40:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,
zip:///Users/bradamanka/Downloads/Stratgey testing/polymarket-btc-5m_2026-08-09.zip::polymarket-btc-updown-5m-1786232400-2026-08-09.txt.zst,polymarket-btc-updown-5m-1786232400-2026-08-09.txt.zst,polymarket-btc-5m_2026-08-09.zip,1786232400,1786232700,False,4,1,0,0,1,0,0,,,301,UNKNOWN,not_extreme,,,0.0009489059448242188,,no_leader,,,,,,,,,no_leader,,,,,,,,,2026-08-08T23:40:00+00:00,2026-08-08T23:45:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,
zip:///Users/bradamanka/Downloads/Stratgey testing/polymarket-btc-5m_2026-08-09.zip::polymarket-btc-updown-5m-1786232700-2026-08-09.txt.zst,polymarket-btc-updown-5m-1786232700-2026-08-09.txt.zst,polymarket-btc-5m_2026-08-09.zip,1786232700,1786233000,False,120,117,0,0,1,116,0,,,301,UNKNOWN,not_extreme,,,0.03820085525512695,,no_leader,,,,,,,,,no_leader,,,,,,,,,2026-08-08T23:45:00+00:00,2026-08-08T23:50:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,
zip:///Users/bradamanka/Downloads/Stratgey testing/polymarket-btc-5m_2026-08-09.zip::polymarket-btc-updown-5m-1786233000-2026-08-09.txt.zst,polymarket-btc-updown-5m-1786233000-2026-08-09.txt.zst,polymarket-btc-5m_2026-08-09.zip,1786233000,1786233300,False,45271,44739,42815,519,539,44200,0,83.580282822,300.0,301,DOWN,quotes+trades,0.001,0.001,1.2357680797576904,,no_pullback,DOWN,93.319,,,,,,,no_pullback,DOWN,94.0,,,,,,,2026-08-08T23:50:00+00:00,2026-08-08T23:55:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,
zip:///Users/bradamanka/Downloads/Stratgey testing/polymarket-btc-5m_2026-08-09.zip::polymarket-btc-updown-5m-1786233300-2026-08-09.txt.zst,polymarket-btc-updown-5m-1786233300-2026-08-09.txt.zst,polymarket-btc-5m_2026-08-09.zip,1786233300,1786233600,True,89626,88165,84924,1415,1505,86660,0,0.0,300.0,301,UP,quotes+trades,0.99,0.99,2.1264588832855225,,opposite_confirmed_first,UP,72.438,122.865,125.94,,,,,opposite_confirmed_first,UP,73.0,123.0,126.0,,,,,2026-08-08T23:55:00+00:00,2026-08-09T00:00:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,
zip:///Users/bradamanka/Downloads/Stratgey testing/polymarket-btc-5m_2026-08-09.zip::polymarket-btc-updown-5m-1786233600-2026-08-09.txt.zst,polymarket-btc-updown-5m-1786233600-2026-08-09.txt.zst,polymarket-btc-5m_2026-08-09.zip,1786233600,1786233900,True,80827,79578,75241,1213,1284,78294,0,0.0,299.996,301,UP,quotes+trades,0.99,0.99,1.7829790115356445,,leader_confirm_too_soon_after_pullback,DOWN,108.989,117.638,130.178,,,,,leader_confirm_too_soon_after_pullback,DOWN,109.0,118.0,134.0,,,,,2026-08-09T00:00:00+00:00,2026-08-09T00:05:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,
zip:///Users/bradamanka/Downloads/Stratgey testing/polymarket-btc-5m_2026-08-09.zip::polymarket-btc-updown-5m-1786233900-2026-08-09.txt.zst,polymarket-btc-updown-5m-1786233900-2026-08-09.txt.zst,polymarket-btc-5m_2026-08-09.zip,1786233900,1786234200,True,74457,73492,69541,921,981,72511,0,0.0,299.99,301,DOWN,quotes+trades,0.01,0.01,1.5626208782196045,,leader_confirm_too_soon_after_pullback,DOWN,53.552,72.78,87.64,,,,,leader_confirm_too_soon_after_pullback,DOWN,54.0,73.0,88.0,,,,,2026-08-09T00:05:00+00:00,2026-08-09T00:10:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,
zip:///Users/bradamanka/Downloads/Stratgey testing/polymarket-btc-5m_2026-08-09.zip::polymarket-btc-updown-5m-1786234200-2026-08-09.txt.zst,polymarket-btc-updown-5m-1786234200-2026-08-09.txt.zst,polymarket-btc-5m_2026-08-09.zip,1786234200,1786234500,True,102836,100587,95846,2081,2371,98216,0,0.0,300.0,301,UP,quotes+trades,0.99,0.99,1.9743399620056152,,leader_confirm_too_soon_after_pullback,DOWN,1.867,1.9,1.901,,,,,opposite_confirmed_first,DOWN,2.0,3.0,156.0,,,,,2026-08-09T00:10:00+00:00,2026-08-09T00:15:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,
zip:///Users/bradamanka/Downloads/Stratgey testing/polymarket-btc-5m_2026-08-09.zip::polymarket-btc-updown-5m-1786234500-2026-08-09.txt.zst,polymarket-btc-updown-5m-1786234500-2026-08-09.txt.zst,polymarket-btc-5m_2026-08-09.zip,1786234500,1786234800,True,84099,82910,78724,1157,1236,81674,0,0.0,300.0,301,UP,quotes+trades,0.99,0.99,2.092453956604004,,leader_confirm_too_soon_after_pullback,DOWN,151.439,199.796,200.721,,,,,leader_confirm_too_soon_after_pullback,DOWN,152.0,200.0,201.0,,,,,2026-08-09T00:15:00+00:00,2026-08-09T00:20:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,
