trade_no,market_start,filename,entry_side,outcome,win,entry_time,balance_before,target_stake,cash_budget,total_debit,principal,fee,shares,avg_price,effective_cost_per_share,worst_price,levels_used,fill_ratio,pnl,balance_after,peak_balance,drawdown_pct
1,1786234800,polymarket-btc-updown-5m-1786234800-2026-08-09.txt.zst,DOWN,UP,False,184.756,300.0,30.0,30.0,30.0,29.512736620411378,0.48726337958862315,38.62381379274205,0.7641072623946119,0.7767228829597718,0.77,2.0,1.0,-30.0,270.0,300.0,10.0
2,1786242000,polymarket-btc-updown-5m-1786242000-2026-08-09.txt.zst,UP,UP,True,216.48,270.0,27.0,27.0,27.0,26.579958636990348,0.42004136300965134,34.33328030383378,0.7741747482841693,0.7864089816371284,0.78,3.0,1.0,7.3332803038337815,277.33328030383376,300.0,7.555573232055414
3,1786253400,polymarket-btc-updown-5m-1786253400-2026-08-09.txt.zst,UP,UP,True,258.777,277.33328030383376,27.733328030383376,27.733328030383376,27.733328030383376,27.27848238400096,0.4548456463824154,35.80893816104021,0.7617785889468147,0.774480603296888,0.77,2.0,1.0,8.075610130656834,285.4088904344906,300.0,4.863703188503128
4,1786255500,polymarket-btc-updown-5m-1786255500-2026-08-09.txt.zst,UP,UP,True,201.901,285.4088904344906,28.540889043449063,28.540889043449063,28.540889043449063,28.072954476379355,0.4679345670697076,36.847992826466694,0.7618584439208717,0.7745574956514073,0.77,2.0,1.0,8.30710378301763,293.71599421750824,300.0,2.0946685941639203
5,1786255800,polymarket-btc-updown-5m-1786255800-2026-08-09.txt.zst,UP,UP,True,217.469,293.71599421750824,29.371599421750826,29.371599421750826,29.37159942175083,28.89390030681117,0.4776991149396598,37.82987052832619,0.763785334268486,0.7764128983671252,0.77,2.0,1.0000000000000002,8.45827110657536,302.1742653240836,302.1742653240836,0.0
6,1786257900,polymarket-btc-updown-5m-1786257900-2026-08-09.txt.zst,DOWN,DOWN,True,209.936,302.1742653240836,30.21742653240836,30.21742653240836,30.21742653240836,29.762876264702527,0.45455026770583534,38.07859533087816,0.7816169689580864,0.7935541285028671,0.8,3.0,1.0,7.861168798469798,310.0354341225534,310.0354341225534,0.0
7,1786275600,polymarket-btc-updown-5m-1786275600-2026-08-09.txt.zst,DOWN,UP,False,265.978,310.0354341225534,31.00354341225534,31.00354341225534,31.00354341225534,30.49128974454695,0.5122536677083888,40.1201180849302,0.76,0.772768,0.76,1.0,1.0,-31.00354341225534,279.03189071029806,310.0354341225534,10.0
8,1786276500,polymarket-btc-updown-5m-1786276500-2026-08-09.txt.zst,DOWN,DOWN,True,244.775,279.03189071029806,27.903189071029807,27.903189071029807,27.90318907102981,27.464210233434912,0.43897883759489764,35.595141324916554,0.7715718834415752,0.783904432808014,0.78,3.0,1.0000000000000002,7.691952253886743,286.7238429641848,310.0354341225534,7.519008665684894
9,1786279500,polymarket-btc-updown-5m-1786279500-2026-08-09.txt.zst,UP,DOWN,False,259.217,286.7238429641848,28.672384296418485,28.672384296418485,28.67238429641849,28.232369504699406,0.4400147917190813,36.32755633506254,0.7771612613934662,0.7892736861230754,0.79,4.0,1.0000000000000002,-28.67238429641849,258.0514586677663,310.0354341225534,16.76710779911641
10,1786302300,polymarket-btc-updown-5m-1786302300-2026-08-09.txt.zst,DOWN,UP,False,271.139,258.0514586677663,25.805145866776634,25.805145866776634,25.805145866776634,25.394716215703802,0.4104296510728312,33.018592487927016,0.7691035353790194,0.7815337942164579,0.77,2.0,1.0,-25.805145866776634,232.2463128009897,310.0354341225534,25.09039701920477
11,1786320900,polymarket-btc-updown-5m-1786320900-2026-08-10.txt.zst,DOWN,DOWN,True,232.409,232.2463128009897,23.224631280098972,23.224631280098972,23.224631280098972,22.840904091364056,0.3837271887349161,30.053821172847442,0.76,0.772768,0.76,1.0,1.0,6.82918989274847,239.07550269373817,310.0354341225534,22.887684315711343
12,1786330500,polymarket-btc-updown-5m-1786330500-2026-08-10.txt.zst,DOWN,DOWN,True,278.297,239.07550269373817,23.907550269373818,23.907550269373818,23.90755026937382,23.529467102960304,0.3780831664135164,30.543629244253548,0.7703559689910496,0.7827344313993652,0.79,4.0,1.0000000000000002,6.636078974879727,245.7115816686179,310.0354341225534,20.747258337093506
13,1786333200,polymarket-btc-updown-5m-1786333200-2026-08-10.txt.zst,UP,DOWN,False,189.878,245.7115816686179,24.571158166861792,24.571158166861792,24.571158166861792,24.1651830909341,0.4059750759276929,31.796293540702763,0.76,0.772768,0.76,1.0,1.0,-24.571158166861792,221.14042350175612,310.0354341225534,28.67253250338415
14,1786338000,polymarket-btc-updown-5m-1786338000-2026-08-10.txt.zst,UP,UP,True,201.411,221.14042350175612,22.114042350175612,22.114042350175612,22.114042350175612,21.748664781840688,0.3653775683349236,28.616664186632484,0.76,0.772768,0.76,1.0,1.0,6.502621836456871,227.643045338213,310.0354341225534,26.575152294292803
15,1786378200,polymarket-btc-updown-5m-1786378200-2026-08-10.txt.zst,DOWN,DOWN,True,220.261,227.643045338213,22.764304533821303,22.764304533821303,22.764304533821303,22.38818305843952,0.3761214753817839,29.458135603209893,0.76,0.772768,0.76,1.0,1.0,6.69383106938859,234.33687640760158,310.0354341225534,24.416098736968582
16,1786382700,polymarket-btc-updown-5m-1786382700-2026-08-10.txt.zst,UP,UP,True,255.057,234.33687640760158,23.43368764076016,23.43368764076016,23.43368764076016,23.112363210066277,0.3213244306938815,28.842423716131208,0.8013322124915536,0.8124729000376618,0.81,3.0,1.0,5.408736075371049,239.74561248297263,310.0354341225534,22.671544573126443
17,1786393800,polymarket-btc-updown-5m-1786393800-2026-08-10.txt.zst,DOWN,DOWN,True,247.521,239.74561248297263,23.974561248297263,23.974561248297263,23.974561248297263,23.585863707206286,0.3886975410909768,30.851363727187547,0.7644998748117384,0.7770989140155853,0.78,3.0,1.0,6.8768024788902835,246.62241496186292,310.0354341225534,20.453474726254694
18,1786404900,polymarket-btc-updown-5m-1786404900-2026-08-10.txt.zst,DOWN,DOWN,True,231.618,246.62241496186292,24.662241496186294,24.662241496186294,24.662241496186297,24.27765559994711,0.3845858962391855,31.381609743521935,0.773626840635819,0.7858819766655626,0.78,3.0,1.0000000000000002,6.7193682473356375,253.34178320919855,310.0354341225534,18.28618431109539
19,1786409400,polymarket-btc-updown-5m-1786409400-2026-08-11.txt.zst,UP,UP,True,182.344,253.34178320919855,25.334178320919857,25.334178320919857,25.334178320919857,24.915718650644482,0.4184596702753761,32.780803442395424,0.7600704081102837,0.7728357959693921,0.77,2.0,1.0,7.4466251214755665,260.78840833067414,310.0354341225534,15.88432171672754
