path,filename,archive,market_start,market_end,complete,line_count,book_messages_total,in_window_book_messages,trade_count_window,snapshots,deltas,sequence_breaks,first_book_age,last_book_age,sampled_points,outcome,outcome_source,final_quote_proxy,final_trade_proxy,elapsed_seconds,fatal_error,raw_status,raw_leader,raw_leader_time,raw_pullback_time,raw_confirm_time,raw_entry_side,raw_up_ask_at_entry,raw_down_ask_at_entry,raw_entry_levels,raw_flat_cash_budget,raw_flat_total_debit,raw_flat_principal,raw_flat_fee,raw_flat_shares,raw_flat_avg_price,raw_flat_effective_cost_per_share,raw_flat_worst_price,raw_flat_levels_used,raw_flat_fill_ratio,raw_flat_win,raw_flat_pnl,sampled_status,sampled_leader,sampled_leader_time,sampled_pullback_time,sampled_confirm_time,sampled_entry_side,sampled_up_ask_at_entry,sampled_down_ask_at_entry,sampled_entry_levels,sampled_flat_cash_budget,sampled_flat_total_debit,sampled_flat_principal,sampled_flat_fee,sampled_flat_shares,sampled_flat_avg_price,sampled_flat_effective_cost_per_share,sampled_flat_worst_price,sampled_flat_levels_used,sampled_flat_fill_ratio,sampled_flat_win,sampled_flat_pnl,market_start_utc,market_end_utc
zip:///Users/bradamanka/Downloads/Stratgey testing/polymarket-btc-5m_2026-08-09.zip::polymarket-btc-updown-5m-1786234800-2026-08-09.txt.zst,polymarket-btc-updown-5m-1786234800-2026-08-09.txt.zst,polymarket-btc-5m_2026-08-09.zip,1786234800,1786235100,True,78507,77182,74035,1271,1365,75817,0,0.0,300.0,301,UP,quotes+trades,0.99,0.99,1.940608024597168,,trade,DOWN,69.253,69.256,184.756,DOWN,0.26,0.76,"[[0.76,22.76],[0.77,36.0],[0.78,64.0],[0.79,50.0],[0.8,88.5],[0.81,47.0],[0.82,44.0],[0.83,50.0]]",300.0,299.99999999999994,295.76664073525046,4.233359264749481,371.9937840183741,0.7950849004526418,0.8064650886348732,0.83,8.0,0.9999999999999998,False,-299.99999999999994,trade,DOWN,70.0,71.0,185.0,DOWN,0.25,0.76,"[[0.76,22.76],[0.77,36.0],[0.78,64.0],[0.79,50.0],[0.8,88.5],[0.81,47.0],[0.82,44.0],[0.83,50.0]]",300.0,299.99999999999994,295.76664073525046,4.233359264749481,371.9937840183741,0.7950849004526418,0.8064650886348732,0.83,8.0,0.9999999999999998,False,-299.99999999999994,2026-08-09T00:20:00+00:00,2026-08-09T00:25:00+00:00
zip:///Users/bradamanka/Downloads/Stratgey testing/polymarket-btc-5m_2026-08-09.zip::polymarket-btc-updown-5m-1786242000-2026-08-09.txt.zst,polymarket-btc-updown-5m-1786242000-2026-08-09.txt.zst,polymarket-btc-5m_2026-08-09.zip,1786242000,1786242300,True,79217,78137,73859,997,1121,77016,0,0.0,300.0,301,UP,quotes+trades,0.99,0.99,2.293728828430176,,trade,UP,168.384,168.799,216.48,UP,0.76,0.26,"[[0.76,5.0],[0.77,10.0],[0.78,101.2],[0.79,20.0],[0.8,22.5],[0.81,26.2],[0.82,26.0],[0.83,26.0],[0.84,34.5],[0.85,48.67],[0.86,15.0],[0.87,58.46]]",300.0,300.0,296.19550242790604,3.8044975720939456,363.33207175621385,0.815219809790547,0.8256909403838482,0.87,12.0,1.0,True,63.33207175621385,leader_confirm_too_soon_after_pullback,UP,216.0,224.0,244.0,,,,,,,,,,,,,,,,,2026-08-09T02:20:00+00:00,2026-08-09T02:25:00+00:00
zip:///Users/bradamanka/Downloads/Stratgey testing/polymarket-btc-5m_2026-08-09.zip::polymarket-btc-updown-5m-1786253400-2026-08-09.txt.zst,polymarket-btc-updown-5m-1786253400-2026-08-09.txt.zst,polymarket-btc-5m_2026-08-09.zip,1786253400,1786253700,True,87022,85553,80136,1379,1517,84036,0,0.0,299.984,301,UP,quotes+trades,0.99,0.99,3.670275926589966,,trade,UP,11.749,11.777,258.777,UP,0.76,0.26,"[[0.76,29.44],[0.77,15.0],[0.78,15.0],[0.79,20.0],[0.8,47.55],[0.81,35.0],[0.82,40.0],[0.83,40.0],[0.84,15.0],[0.85,10.0],[0.86,30.0],[0.87,30.0],[0.88,535.0]]",300.0,300.0,296.3390133280444,3.6609866719555724,360.54069696368686,0.82192944048669,0.8320835970154448,0.88,13.0,1.0,True,60.540696963686855,leader_confirm_too_soon_after_pullback,UP,257.0,258.0,259.0,,,,,,,,,,,,,,,,,2026-08-09T05:30:00+00:00,2026-08-09T05:35:00+00:00
zip:///Users/bradamanka/Downloads/Stratgey testing/polymarket-btc-5m_2026-08-09.zip::polymarket-btc-updown-5m-1786255500-2026-08-09.txt.zst,polymarket-btc-updown-5m-1786255500-2026-08-09.txt.zst,polymarket-btc-5m_2026-08-09.zip,1786255500,1786255800,True,98203,96325,92403,1829,1943,94382,0,0.0,299.988,301,UP,quotes+trades,0.99,0.99,3.509377956390381,,trade,UP,153.662,153.676,201.901,UP,0.76,0.26,"[[0.76,30.0],[0.77,7.18],[0.78,35.0],[0.79,25.0],[0.8,62.5],[0.81,61.0],[0.82,38.0],[0.83,84.0],[0.84,69.94]]",300.0,300.0,296.0099444818038,3.990055518196203,366.89588628786174,0.8067954848901148,0.8176706559326857,0.84,9.0,1.0,True,66.89588628786174,leader_confirm_too_soon_after_pullback,UP,202.0,224.0,228.0,,,,,,,,,,,,,,,,,2026-08-09T06:05:00+00:00,2026-08-09T06:10:00+00:00
zip:///Users/bradamanka/Downloads/Stratgey testing/polymarket-btc-5m_2026-08-09.zip::polymarket-btc-updown-5m-1786255800-2026-08-09.txt.zst,polymarket-btc-updown-5m-1786255800-2026-08-09.txt.zst,polymarket-btc-5m_2026-08-09.zip,1786255800,1786256100,True,87032,85291,81440,1694,1785,83506,0,0.001,299.994,301,UP,quotes+trades,0.99,0.99,3.267838954925537,,trade,UP,52.794,65.876,217.469,UP,0.76,0.26,"[[0.76,23.51],[0.77,30.0],[0.78,10.0],[0.79,135.0],[0.8,40.0],[0.81,10.0],[0.82,10.0],[0.83,25.0],[0.84,135.0]]",300.0,300.0,295.9336446202532,4.066355379746836,368.58862454792046,0.8028832820959146,0.813915514533186,0.84,9.0,1.0,True,68.58862454792046,trade,UP,53.0,66.0,218.0,UP,0.79,0.21999999999999997,"[[0.79,134.35],[0.8,40.0],[0.81,10.0],[0.82,10.0],[0.83,60.0],[0.84,135.0]]",300.0,300.00000000000006,296.15859597507915,3.8414040249208874,363.78106663699896,0.8141121766257361,0.8246718356548137,0.84,6.0,1.0000000000000002,True,63.7810666369989,2026-08-09T06:10:00+00:00,2026-08-09T06:15:00+00:00
zip:///Users/bradamanka/Downloads/Stratgey testing/polymarket-btc-5m_2026-08-09.zip::polymarket-btc-updown-5m-1786257900-2026-08-09.txt.zst,polymarket-btc-updown-5m-1786257900-2026-08-09.txt.zst,polymarket-btc-5m_2026-08-09.zip,1786257900,1786258200,True,86527,85089,79254,1363,1456,83633,0,0.0,300.0,301,DOWN,quotes+trades,0.001,0.0055,3.8623838424682617,,trade,DOWN,25.219,25.251,209.936,DOWN,0.31,0.77,"[[0.77,20.0],[0.79,10.0],[0.8,39.0],[0.81,4.25],[0.82,30.0],[0.83,15.0],[0.84,10.0],[0.85,88.12],[0.86,30.0],[0.87,30.0],[0.88,75.0],[0.89,70.0]]",300.0,300.00000000000006,296.7655318051008,3.2344681948992764,352.0116087697761,0.8430560936392085,0.8522446207056971,0.89,12.0,1.0000000000000002,True,52.011608769776046,no_pullback,DOWN,210.0,,,,,,,,,,,,,,,,,,,2026-08-09T06:45:00+00:00,2026-08-09T06:50:00+00:00
zip:///Users/bradamanka/Downloads/Stratgey testing/polymarket-btc-5m_2026-08-09.zip::polymarket-btc-updown-5m-1786275600-2026-08-09.txt.zst,polymarket-btc-updown-5m-1786275600-2026-08-09.txt.zst,polymarket-btc-5m_2026-08-09.zip,1786275600,1786275900,True,93788,92026,87217,1629,1832,90194,0,0.0,300.0,301,UP,quotes+trades,0.9775,0.99,2.784757137298584,,trade,DOWN,0.0,1.481,265.978,DOWN,0.32,0.76,"[[0.76,88.83],[0.77,18.69],[0.78,17.57],[0.79,10.0],[0.8,15.0],[0.81,10.0],[0.82,10.0],[0.83,15.0],[0.84,10.0],[0.85,75.0],[0.86,10.0],[0.87,20.0],[0.88,448.32]]",300.0,300.0,296.3207795220151,3.6792204779849262,361.3559994568353,0.820024518666975,0.8302062244737564,0.88,13.0,1.0,False,-300.0,opposite_confirmed_first,DOWN,0.0,2.0,292.0,,,,,,,,,,,,,,,,,2026-08-09T11:40:00+00:00,2026-08-09T11:45:00+00:00
zip:///Users/bradamanka/Downloads/Stratgey testing/polymarket-btc-5m_2026-08-09.zip::polymarket-btc-updown-5m-1786276500-2026-08-09.txt.zst,polymarket-btc-updown-5m-1786276500-2026-08-09.txt.zst,polymarket-btc-5m_2026-08-09.zip,1786276500,1786276800,True,94810,93661,88993,1075,1165,92496,0,0.0,299.988,301,DOWN,quotes+trades,0.01,0.01,2.701551914215088,,trade,DOWN,19.467,19.488,244.775,DOWN,0.26,0.76,"[[0.76,10.0],[0.77,10.0],[0.78,20.0],[0.79,34.0],[0.8,62.55],[0.81,36.0],[0.82,14.13],[0.83,928.09]]",300.0,300.0,296.12273285897817,3.8772671410218407,364.4825697096122,0.8124468972409375,0.823084627171647,0.83,8.0,1.0,True,64.48256970961222,no_pullback,DOWN,245.0,,,,,,,,,,,,,,,,,,,2026-08-09T11:55:00+00:00,2026-08-09T12:00:00+00:00
zip:///Users/bradamanka/Downloads/Stratgey testing/polymarket-btc-5m_2026-08-09.zip::polymarket-btc-updown-5m-1786279500-2026-08-09.txt.zst,polymarket-btc-updown-5m-1786279500-2026-08-09.txt.zst,polymarket-btc-5m_2026-08-09.zip,1786279500,1786279800,True,92479,90403,83486,1930,2230,88173,0,0.0,299.979,301,DOWN,quotes+trades,0.01,0.01,4.492962837219238,,trade,UP,169.875,176.788,259.217,UP,0.76,0.39,"[[0.76,10.0],[0.77,3.32],[0.78,10.0],[0.79,30.0],[0.8,32.5],[0.81,22.0],[0.82,10.0],[0.83,20.0],[0.84,40.0],[0.85,45.0],[0.86,40.0],[0.87,40.0],[0.88,863.32]]",300.0,299.99999999999994,296.6483366917889,3.351663308211027,354.32220078612374,0.8372276307655134,0.8466869965652708,0.88,13.0,0.9999999999999998,False,-299.99999999999994,opposite_confirmed_first,UP,170.0,177.0,275.0,,,,,,,,,,,,,,,,,2026-08-09T12:45:00+00:00,2026-08-09T12:50:00+00:00
zip:///Users/bradamanka/Downloads/Stratgey testing/polymarket-btc-5m_2026-08-09.zip::polymarket-btc-updown-5m-1786302300-2026-08-09.txt.zst,polymarket-btc-updown-5m-1786302300-2026-08-09.txt.zst,polymarket-btc-5m_2026-08-09.zip,1786302300,1786302600,True,89918,88355,81819,1517,1658,86697,0,0.0,299.987,301,UP,quotes+trades,0.99,0.99,2.249207019805908,,trade,DOWN,182.432,182.463,271.139,DOWN,0.27,0.76,"[[0.76,2.96],[0.77,419.73]]",300.0,300.0,295.24498108453895,4.7550189154610765,383.4734819279726,0.7699228108294447,0.7823226745476722,0.77,2.0,1.0,False,-300.0,no_pullback,UP,276.0,,,,,,,,,,,,,,,,,,,2026-08-09T19:05:00+00:00,2026-08-09T19:10:00+00:00
