trade_no,market_start,filename,entry_side,outcome,win,entry_time,balance_before,target_stake,cash_budget,total_debit,principal,fee,shares,avg_price,effective_cost_per_share,worst_price,levels_used,fill_ratio,pnl,balance_after,peak_balance,drawdown_pct
1,1786234800,polymarket-btc-updown-5m-1786234800-2026-08-09.txt.zst,DOWN,UP,False,185.0,300.0,30.0,30.0,30.0,29.512736620411378,0.48726337958862315,38.62381379274205,0.7641072623946119,0.7767228829597718,0.77,2.0,1.0,-30.0,270.0,300.0,10.0
2,1786243200,polymarket-btc-updown-5m-1786243200-2026-08-09.txt.zst,DOWN,DOWN,True,186.0,270.0,27.0,27.0,26.999999999999996,26.868345108966064,0.1316548910339336,28.890693665554906,0.93,0.934557,0.93,1.0,0.9999999999999999,1.8906936655549096,271.8906936655549,300.0,9.36976877814836
3,1786255800,polymarket-btc-updown-5m-1786255800-2026-08-09.txt.zst,UP,UP,True,218.0,271.8906936655549,27.189069366555493,27.189069366555493,27.189069366555493,26.795180217360297,0.39388914919519635,33.91794964222822,0.79,0.801613,0.79,1.0,1.0,6.728880275672729,278.61957394122766,300.0,7.126808686257448
4,1786289100,polymarket-btc-updown-5m-1786289100-2026-08-09.txt.zst,DOWN,DOWN,True,183.0,278.61957394122766,27.86195739412277,27.86195739412277,27.86195739412277,27.412535428523505,0.44942196559926195,35.79889157503013,0.7657369885620664,0.7782910634461262,0.78,3.0,1.0,7.936934180907365,286.556508122135,300.0,4.481163959288324
5,1786295100,polymarket-btc-updown-5m-1786295100-2026-08-09.txt.zst,DOWN,DOWN,True,237.0,286.556508122135,28.655650812213505,28.655650812213505,28.65565081221351,28.201604972161704,0.45404584005180343,36.625461002807405,0.77,0.7823970000000001,0.77,1.0,1.0000000000000002,7.969810190593897,294.5263183127289,300.0,1.8245605624236987
6,1786308300,polymarket-btc-updown-5m-1786308300-2026-08-09.txt.zst,DOWN,DOWN,True,227.0,294.5263183127289,29.452631831272893,29.452631831272893,29.452631831272896,28.994216843670934,0.45841498760196264,37.461033979330296,0.7739833572044205,0.7862204723853549,0.79,4.0,1.0000000000000002,8.0084021480574,302.5347204607863,302.5347204607863,0.0
7,1786310400,polymarket-btc-updown-5m-1786310400-2026-08-09.txt.zst,UP,UP,True,219.0,302.5347204607863,30.253472046078627,30.253472046078627,30.253472046078624,29.76079973041888,0.492672315659744,38.98051913041413,0.7634787938777947,0.7761177306249284,0.77,2.0,0.9999999999999999,8.727047084335506,311.26176754512176,311.26176754512176,0.0
8,1786311000,polymarket-btc-updown-5m-1786311000-2026-08-09.txt.zst,DOWN,UP,False,252.0,311.26176754512176,31.126176754512176,31.126176754512176,31.126176754512173,30.80969400328003,0.3164827512321444,36.10952791079073,0.853228933908966,0.8619934558936904,0.86,2.0,0.9999999999999999,-31.126176754512173,280.13559079060957,311.26176754512176,10.000000000000004
9,1786320900,polymarket-btc-updown-5m-1786320900-2026-08-10.txt.zst,DOWN,DOWN,True,233.0,280.13559079060957,28.013559079060958,28.013559079060958,28.01355907906096,27.607725514005086,0.40583356505587476,34.9464879924115,0.79,0.8016130000000001,0.79,1.0,1.0000000000000002,6.932928913350537,287.0685197039601,311.26176754512176,7.772637170305385
10,1786330500,polymarket-btc-updown-5m-1786330500-2026-08-10.txt.zst,DOWN,DOWN,True,279.0,287.0685197039601,28.70685197039601,28.70685197039601,28.706851970396013,28.369257802545718,0.33759416785029417,34.179828677765926,0.83,0.839877,0.83,1.0,1.0000000000000002,5.472976707369913,292.54149641133,311.26176754512176,6.014317557031154
11,1786333200,polymarket-btc-updown-5m-1786333200-2026-08-10.txt.zst,UP,DOWN,False,190.0,292.54149641133,29.254149641133,29.254149641133,29.254149641133,28.770800197809795,0.48334944332320456,37.85631604974973,0.76,0.772768,0.76,1.0,1.0,-29.254149641133,263.287346770197,311.26176754512176,15.412885801328033
12,1786338000,polymarket-btc-updown-5m-1786338000-2026-08-10.txt.zst,UP,UP,True,212.0,263.287346770197,26.328734677019703,26.328734677019703,26.328734677019703,26.090462646932618,0.23827203008708683,30.00524442176163,0.8695300821482469,0.8774710949504714,0.87,2.0,1.0,3.676509744741928,266.9638565149389,311.26176754512176,14.231722507892405
13,1786358100,polymarket-btc-updown-5m-1786358100-2026-08-10.txt.zst,DOWN,DOWN,True,182.0,266.9638565149389,26.696385651493895,26.696385651493895,26.696385651493895,26.2600069397637,0.4363787117301956,34.43572329839442,0.7625803794569368,0.7752526473790845,0.77,2.0,1.0,7.739337646900527,274.70319416183946,311.26176754512176,11.745282329922713
14,1786359300,polymarket-btc-updown-5m-1786359300-2026-08-10.txt.zst,DOWN,DOWN,True,180.0,274.70319416183946,27.470319416183948,27.470319416183948,27.470319416183948,27.186605928088678,0.28371348809526914,31.95012317219614,0.8509077032838233,0.8597875904306173,0.86,2.0,1.0,4.479803756012192,279.18299791785165,311.26176754512176,10.306042364364535
