path,filename,archive,market_start,market_end,complete,line_count,book_messages_total,in_window_book_messages,trade_count_window,snapshots,deltas,sequence_breaks,first_book_age,last_book_age,sampled_points,outcome,outcome_source,final_quote_proxy,final_trade_proxy,elapsed_seconds,fatal_error,raw_status,raw_leader,raw_leader_time,raw_pullback_time,raw_confirm_time,raw_entry_side,raw_up_ask_at_entry,raw_down_ask_at_entry,raw_entry_levels,raw_flat_cash_budget,raw_flat_total_debit,raw_flat_principal,raw_flat_fee,raw_flat_shares,raw_flat_avg_price,raw_flat_effective_cost_per_share,raw_flat_worst_price,raw_flat_levels_used,raw_flat_fill_ratio,raw_flat_win,raw_flat_pnl,sampled_status,sampled_leader,sampled_leader_time,sampled_pullback_time,sampled_confirm_time,sampled_entry_side,sampled_up_ask_at_entry,sampled_down_ask_at_entry,sampled_entry_levels,sampled_flat_cash_budget,sampled_flat_total_debit,sampled_flat_principal,sampled_flat_fee,sampled_flat_shares,sampled_flat_avg_price,sampled_flat_effective_cost_per_share,sampled_flat_worst_price,sampled_flat_levels_used,sampled_flat_fill_ratio,sampled_flat_win,sampled_flat_pnl,market_start_utc,market_end_utc
zip:///Users/bradamanka/Downloads/Stratgey testing/polymarket-btc-5m_2026-08-09.zip::polymarket-btc-updown-5m-1786234800-2026-08-09.txt.zst,polymarket-btc-updown-5m-1786234800-2026-08-09.txt.zst,polymarket-btc-5m_2026-08-09.zip,1786234800,1786235100,True,78507,77182,74035,1271,1365,75817,0,0.0,300.0,301,UP,quotes+trades,0.99,0.99,1.940608024597168,,trade,DOWN,69.253,69.256,184.756,DOWN,0.26,0.76,"[[0.76,22.76],[0.77,36.0],[0.78,64.0],[0.79,50.0],[0.8,88.5],[0.81,47.0],[0.82,44.0],[0.83,50.0]]",300.0,299.99999999999994,295.76664073525046,4.233359264749481,371.9937840183741,0.7950849004526418,0.8064650886348732,0.83,8.0,0.9999999999999998,False,-299.99999999999994,trade,DOWN,70.0,71.0,185.0,DOWN,0.25,0.76,"[[0.76,22.76],[0.77,36.0],[0.78,64.0],[0.79,50.0],[0.8,88.5],[0.81,47.0],[0.82,44.0],[0.83,50.0]]",300.0,299.99999999999994,295.76664073525046,4.233359264749481,371.9937840183741,0.7950849004526418,0.8064650886348732,0.83,8.0,0.9999999999999998,False,-299.99999999999994,2026-08-09T00:20:00+00:00,2026-08-09T00:25:00+00:00
zip:///Users/bradamanka/Downloads/Stratgey testing/polymarket-btc-5m_2026-08-09.zip::polymarket-btc-updown-5m-1786243200-2026-08-09.txt.zst,polymarket-btc-updown-5m-1786243200-2026-08-09.txt.zst,polymarket-btc-5m_2026-08-09.zip,1786243200,1786243500,True,75635,74565,69889,998,1081,73484,0,0.0,300.0,301,DOWN,quotes+trades,0.001,0.001,1.4502050876617432,,leader_confirm_too_soon_after_pullback,DOWN,0.428,0.488,15.464,,,,,,,,,,,,,,,,,trade,DOWN,16.0,17.0,186.0,DOWN,0.08,0.9299999999999999,"[[0.93,30.63],[0.94,280.0],[0.95,390.0]]",300.0,300.0,298.7303236073742,1.2696763926258106,318.0451827446044,0.9392700780104557,0.94326220385141,0.95,3.0,1.0,True,18.045182744604404,2026-08-09T02:40:00+00:00,2026-08-09T02:45:00+00:00
zip:///Users/bradamanka/Downloads/Stratgey testing/polymarket-btc-5m_2026-08-09.zip::polymarket-btc-updown-5m-1786255800-2026-08-09.txt.zst,polymarket-btc-updown-5m-1786255800-2026-08-09.txt.zst,polymarket-btc-5m_2026-08-09.zip,1786255800,1786256100,True,87032,85291,81440,1694,1785,83506,0,0.001,299.994,301,UP,quotes+trades,0.99,0.99,3.267838954925537,,trade,UP,52.794,65.876,217.469,UP,0.76,0.26,"[[0.76,23.51],[0.77,30.0],[0.78,10.0],[0.79,135.0],[0.8,40.0],[0.81,10.0],[0.82,10.0],[0.83,25.0],[0.84,135.0]]",300.0,300.0,295.9336446202532,4.066355379746836,368.58862454792046,0.8028832820959146,0.813915514533186,0.84,9.0,1.0,True,68.58862454792046,trade,UP,53.0,66.0,218.0,UP,0.79,0.21999999999999997,"[[0.79,134.35],[0.8,40.0],[0.81,10.0],[0.82,10.0],[0.83,60.0],[0.84,135.0]]",300.0,300.00000000000006,296.15859597507915,3.8414040249208874,363.78106663699896,0.8141121766257361,0.8246718356548137,0.84,6.0,1.0000000000000002,True,63.7810666369989,2026-08-09T06:10:00+00:00,2026-08-09T06:15:00+00:00
zip:///Users/bradamanka/Downloads/Stratgey testing/polymarket-btc-5m_2026-08-09.zip::polymarket-btc-updown-5m-1786289100-2026-08-09.txt.zst,polymarket-btc-updown-5m-1786289100-2026-08-09.txt.zst,polymarket-btc-5m_2026-08-09.zip,1786289100,1786289400,True,91140,89366,81469,1661,1824,87542,0,0.0,300.0,301,DOWN,quotes+trades,0.001,0.01,1.576791763305664,,leader_confirm_too_soon_after_pullback,DOWN,5.446,5.563,7.349,,,,,,,,,,,,,,,,,trade,DOWN,14.0,15.0,183.0,DOWN,0.25,0.76,"[[0.76,18.03],[0.77,15.0],[0.78,15.0],[0.79,25.0],[0.8,77.5],[0.81,51.44],[0.82,25.0],[0.83,289.84]]",300.0,300.00000000000006,296.06207463188065,3.9379253681193807,365.7565959420249,0.8094510882827898,0.8202176073608042,0.83,8.0,1.0000000000000002,True,65.75659594202483,2026-08-09T15:25:00+00:00,2026-08-09T15:30:00+00:00
zip:///Users/bradamanka/Downloads/Stratgey testing/polymarket-btc-5m_2026-08-09.zip::polymarket-btc-updown-5m-1786295100-2026-08-09.txt.zst,polymarket-btc-updown-5m-1786295100-2026-08-09.txt.zst,polymarket-btc-5m_2026-08-09.zip,1786295100,1786295400,True,89837,88872,81643,911,980,87892,0,0.0,300.0,301,DOWN,quotes+trades,0.01,0.01,2.1653940677642822,,leader_confirm_too_soon_after_pullback,DOWN,186.95,192.441,219.792,,,,,,,,,,,,,,,,,trade,DOWN,187.0,193.0,237.0,DOWN,0.24,0.77,"[[0.77,157.65],[0.78,20.11],[0.79,10.0],[0.8,17.5],[0.81,10.0],[0.82,10.0],[0.83,76.0],[0.84,45.0],[0.85,56.67]]",300.0,300.0,295.8995554477981,4.100444552201881,369.48735935035074,0.8008381016553908,0.8119357602042827,0.85,9.0,1.0,True,69.48735935035074,2026-08-09T17:05:00+00:00,2026-08-09T17:10:00+00:00
zip:///Users/bradamanka/Downloads/Stratgey testing/polymarket-btc-5m_2026-08-09.zip::polymarket-btc-updown-5m-1786308300-2026-08-09.txt.zst,polymarket-btc-updown-5m-1786308300-2026-08-09.txt.zst,polymarket-btc-5m_2026-08-09.zip,1786308300,1786308600,True,89342,88025,80124,1275,1367,86658,0,0.0,299.984,301,DOWN,quotes+trades,0.01,0.01,1.4423840045928955,,leader_confirm_too_soon_after_pullback,DOWN,39.463,39.535,39.938,,,,,,,,,,,,,,,,,trade,DOWN,40.0,175.0,227.0,DOWN,0.25,0.76,"[[0.76,10.0],[0.77,10.0],[0.78,10.0],[0.79,28.0],[0.8,47.46],[0.81,67.46],[0.82,48.29],[0.83,53.29],[0.84,123.29]]",300.0,300.00000000000006,296.18480194818045,3.815198051819621,363.2210737478338,0.8154394757221788,0.8259432661891061,0.84,9.0,1.0000000000000002,True,63.22107374783377,2026-08-09T20:45:00+00:00,2026-08-09T20:50:00+00:00
zip:///Users/bradamanka/Downloads/Stratgey testing/polymarket-btc-5m_2026-08-09.zip::polymarket-btc-updown-5m-1786310400-2026-08-09.txt.zst,polymarket-btc-updown-5m-1786310400-2026-08-09.txt.zst,polymarket-btc-5m_2026-08-09.zip,1786310400,1786310700,True,95962,94631,86145,1288,1389,93242,0,0.0,299.99,301,UP,quotes+trades,0.99,0.99,1.7949507236480713,,leader_confirm_too_soon_after_pullback,UP,128.535,128.564,128.953,,,,,,,,,,,,,,,,,trade,UP,129.0,136.0,219.0,UP,0.76,0.25,"[[0.76,25.42],[0.77,30.0],[0.78,30.0],[0.79,30.0],[0.8,15.0],[0.81,36.0],[0.82,131.1],[0.83,50.0],[0.84,51.0]]",300.0,299.99999999999994,296.0077172468354,3.9922827531645573,366.95633005575644,0.8066565228670646,0.8175359720717096,0.84,9.0,0.9999999999999998,True,66.9563300557565,2026-08-09T21:20:00+00:00,2026-08-09T21:25:00+00:00
zip:///Users/bradamanka/Downloads/Stratgey testing/polymarket-btc-5m_2026-08-09.zip::polymarket-btc-updown-5m-1786311000-2026-08-09.txt.zst,polymarket-btc-updown-5m-1786311000-2026-08-09.txt.zst,polymarket-btc-5m_2026-08-09.zip,1786311000,1786311300,True,114480,112728,105688,1706,1799,110929,0,0.002,299.992,301,UP,quotes+trades,0.99,0.99,2.156531810760498,,opposite_confirmed_first,UP,29.076,29.091,181.209,,,,,,,,,,,,,,,,,trade,DOWN,181.0,183.0,252.0,DOWN,0.16,0.85,"[[0.85,24.45],[0.86,50.0],[0.87,46.59],[0.88,230.0]]",300.0,300.0,297.36987647758826,2.630123522411742,340.4196323608958,0.8735391505338672,0.8812652722741768,0.88,4.0,1.0,False,-300.0,2026-08-09T21:30:00+00:00,2026-08-09T21:35:00+00:00
zip:///Users/bradamanka/Downloads/Stratgey testing/polymarket-btc-5m_2026-08-10.zip::polymarket-btc-updown-5m-1786320900-2026-08-10.txt.zst,polymarket-btc-updown-5m-1786320900-2026-08-10.txt.zst,polymarket-btc-5m_2026-08-10.zip,1786320900,1786321200,True,153744,151879,144059,1770,1927,149952,0,0.001,299.995,301,DOWN,quotes+trades,0.01,0.01,4.248394012451172,,trade,DOWN,56.345,57.088,232.409,DOWN,0.33,0.76,"[[0.76,93.0],[0.77,117.0],[0.78,31.2],[0.79,165.0]]",300.0,300.0,295.3665229131763,4.633477086823692,380.77028216857764,0.775707918251901,0.7878766123538539,0.79,4.0,1.0,True,80.77028216857764,trade,DOWN,57.0,58.0,233.0,DOWN,0.22,0.79,"[[0.79,51.96],[0.8,92.0],[0.81,89.3],[0.82,96.3],[0.83,71.0]]",300.0,300.00000000000006,296.05095570708573,3.9490442929143197,365.82934422540444,0.8092597282865177,0.8200545000981554,0.83,5.0,1.0000000000000002,True,65.82934422540438,2026-08-10T00:15:00+00:00,2026-08-10T00:20:00+00:00
zip:///Users/bradamanka/Downloads/Stratgey testing/polymarket-btc-5m_2026-08-10.zip::polymarket-btc-updown-5m-1786330500-2026-08-10.txt.zst,polymarket-btc-updown-5m-1786330500-2026-08-10.txt.zst,polymarket-btc-5m_2026-08-10.zip,1786330500,1786330800,True,114394,112591,105657,1739,1884,110707,0,0.0,299.991,301,DOWN,quotes+trades,0.01,0.01,3.327285051345825,,trade,DOWN,113.844,120.924,278.297,DOWN,0.26,0.76,"[[0.76,10.0],[0.77,10.0],[0.78,10.0],[0.79,10.0],[0.8,44.25],[0.81,60.0],[0.82,10.0],[0.83,60.0],[0.84,380.0]]",300.0,300.00000000000006,296.29329509493675,3.7067049050632925,361.02773225587714,0.82069400387486,0.8309610957735959,0.84,9.0,1.0000000000000002,True,61.02773225587708,trade,DOWN,114.0,121.0,279.0,DOWN,0.18,0.83,"[[0.83,60.0],[0.84,380.0]]",300.0,300.0,296.6427412974684,3.357258702531647,353.86040630650996,0.8383044161219882,0.847791939005867,0.84,2.0,1.0,True,53.86040630650996,2026-08-10T02:55:00+00:00,2026-08-10T03:00:00+00:00
